"","","Player Details","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"305","Konata Mumpfield","WR","LA","11","40.1","15","2.68","17","155","999.0","0","0","0","0.0","0","0","0","0.0","23","13","204","1.1"
"306","Charlie Kolar","TE","LAC","7","40.1","15","2.67","9","148","999.0","0","0","0","0.0","0","0","0","0.0","18","13","188","1.3"
"307","Drew Sample","TE","CIN","6","39.7","15","2.65","9","81","999.0","0","0","0","0.0","0","0","0","0.0","22","18","156","1.1"
"308","Brashard Smith","RB","KC","5","39.2","15","2.62","14","71","226.3","0","0","0","0.0","0","19","73","0.4","18","14","119","0.6"
"309","Seydou Traore","TE","MIA","6","39.2","15","2.61","9","215","999.0","0","0","0","0.0","0","0","0","0.0","21","15","161","1.3"
"310","Emanuel Wilson","RB","SEA","11","39.0","13","3.00","14","64","203.3","0","0","0","0.0","0","45","178","1.1","9","8","56","0.3"
"311","Trevor Etienne","RB","CAR","5","38.9","15","2.60","14","175","999.0","0","0","0","0.0","0","31","130","0.7","14","12","75","0.5"
"312","Joe Royer","TE","CLV","11","38.8","15","2.59","9","219","999.0","0","0","0","0.0","0","0","0","0.0","22","16","150","1.3"
"313","Isaiah Bond","WR","CLV","11","38.8","15","2.58","17","121","999.0","0","0","0","0.0","0","4","24","0.0","20","12","193","0.9"
"314","Carson Beck","QB","ARZ","14","37.9","3","12.64","14","91","999.0","92","55","568","2.9","3","11","55","0.3","0","0","0","0.0"
"315","Devin Singletary","RB","NYG","8","37.8","15","2.52","14","116","999.0","0","0","0","0.0","0","52","194","1.1","7","6","50","0.1"
"316","Isaiah Williams","WR","NYJ","13","36.8","14","2.63","17","","1775.0","0","0","0","0.0","0","2","9","0.0","22","16","141","1.0"
"317","Dare Ogunbowale","RB","LV","13","36.5","10","3.65","14","121","999.0","0","0","0","0.0","0","32","119","0.6","15","12","67","0.4"
"318","Malik Benson","WR","LV","13","36.2","15","2.41","17","344","999.0","0","0","0","0.0","0","0","0","0.0","23","14","167","0.9"
"319","Marcus Mariota","QB","WAS","7","36.2","2","18.08","14","115","999.0","63","39","466","2.9","2","10","59","0.4","0","0","0","0.0"
"320","Malik Davis","RB","DAL","14","36.0","15","2.40","14","139","999.0","0","0","0","0.0","0","41","175","1.1","8","6","40","0.3"
"321","Mo Alie-Cox","TE","IND","13","35.9","15","2.39","9","100","999.0","0","0","0","0.0","0","0","0","0.0","21","15","132","1.2"
"322","Xavier Smith","WR","LA","11","35.5","15","2.37","17","215","999.0","0","0","0","0.0","0","0","0","0.0","19","13","178","0.8"
"323","Justin Fields","QB","KC","5","34.9","2","17.45","14","89","999.0","56","35","385","2.2","2","15","93","0.6","0","0","0","0.0"
"324","Will Shipley","RB","PHI","10","34.6","15","2.31","15","81","999.0","0","0","0","0.0","0","25","103","0.5","13","11","87","0.4"
"325","Ashton Dulin","WR","IND","13","34.5","15","2.30","17","244","999.0","0","0","0","0.0","0","4","24","0.0","16","10","173","0.8"
"326","Seth McGowan","RB","IND","13","34.5","15","2.30","15","204","999.0","0","0","0","0.0","0","38","160","1.1","7","5","56","0.2"
"327","Luke Schoonmaker","TE","DAL","14","34.2","15","2.28","9","68","999.0","0","0","0","0.0","0","0","0","0.0","19","14","134","1.1"
"328","Tip Reiman","TE","ARZ","14","34.1","15","2.28","9","62","999.0","0","0","0","0.0","0","0","0","0.0","15","11","163","1.2"
"329","Tyson Bagent","QB","CHI","10","33.3","2","16.67","14","48","999.0","64","42","444","2.7","1","9","46","0.3","0","0","0","0.0"
"330","Tanner McKee","QB","PHI","10","33.3","2","16.67","14","78","999.0","72","45","495","3.1","2","6","22","0.1","0","0","0","0.0"
"331","Brock Wright","TE","DET","6","33.3","15","2.22","9","132","999.0","0","0","0","0.0","0","0","0","0.0","19","15","121","1.1"
"332","Ben Sinnott","TE","WAS","7","33.1","15","2.21","9","37","999.0","0","0","0","0.0","0","0","0","0.0","18","13","125","1.2"
"333","Josh Johnson","QB","CIN","6","32.7","2","16.35","14","114","999.0","66","42","468","2.7","2","7","39","0.3","0","0","0","0.0"
"334","Joe Milton III","QB","DAL","14","32.5","2","16.24","14","52","999.0","59","38","426","2.4","2","10","57","0.4","0","0","0","0.0"
"335","Treylon Burks","WR","WAS","7","32.5","10","3.25","17","294","999.0","0","0","0","0.0","0","0","0","0.0","23","13","150","0.7"
"336","Max Klare","TE","LA","11","32.3","15","2.15","9","33","248.8","0","0","0","0.0","0","0","0","0.0","18","13","128","1.1"
"337","Justin Joly","TE","DEN","10","32.2","15","2.15","9","209","999.0","0","0","0","0.0","0","0","0","0.0","17","12","137","1.1"
"338","Mac Jones","QB","SF","8","31.9","2","15.97","14","55","999.0","65","43","460","3.0","2","6","20","0.2","0","0","0","0.0"
"339","Emari Demercado","RB","KC","5","31.9","10","3.19","15","92","999.0","0","0","0","0.0","0","26","107","0.6","10","8","71","0.4"
"340","Mitchell Trubisky","QB","TEN","9","30.4","2","15.18","14","111","999.0","66","43","458","2.7","2","7","26","0.2","0","0","0","0.0"
"341","Rasheen Ali","RB","BLT","13","30.1","14","2.15","15","84","999.0","0","0","0","0.0","0","16","68","0.3","11","9","92","0.5"
"342","Jake Browning","QB","TB","10","30.1","2","15.06","14","61","999.0","64","42","453","2.9","2","6","25","0.1","0","0","0","0.0"
"343","Nate Boerkircher","TE","JAX","7","30.0","15","2.00","9","160","999.0","0","0","0","0.0","0","0","0","0.0","16","12","120","1.0"
"344","Tyrod Taylor","QB","GB","11","29.8","2","14.90","14","81","999.0","55","34","375","2.1","2","11","62","0.4","0","0","0","0.0"
