method,slice_type,slice_value,metric,n_rows,value
team_rush_scoring_lightgbm,season,2018,bias,405,-0.3448004610610598
team_rush_scoring_lightgbm,season,2018,spearman,405,0.7920783199128809
team_rush_scoring_random_forest,season,2018,rmse,405,3.3645424436631672
team_rush_scoring_random_forest,season,2018,mae,405,2.59734206782639
team_rush_scoring_random_forest,season,2018,bias,405,-0.4028364155051671
team_rush_scoring_random_forest,season,2018,spearman,405,0.7893124183498209
team_support_lasso,season,2018,rmse,405,3.481516012109038
team_support_lasso,season,2018,mae,405,2.651203679572724
team_support_lasso,season,2018,bias,405,-0.7776268104244188
team_support_lasso,season,2018,spearman,405,0.7873683480352434
team_support_lightgbm,season,2018,rmse,405,3.344277115156854
team_support_lightgbm,season,2018,mae,405,2.5730505775620047
team_support_lightgbm,season,2018,bias,405,-0.3343401941732891
team_support_lightgbm,season,2018,spearman,405,0.7915355242275931
team_support_random_forest,season,2018,rmse,405,3.3703654798258484
team_support_random_forest,season,2018,mae,405,2.604987847946344
team_support_random_forest,season,2018,bias,405,-0.3963124482553609
team_support_random_forest,season,2018,spearman,405,0.7873998316776707
trajectory_base_lasso,season,2018,rmse,405,3.482003696999872
trajectory_base_lasso,season,2018,mae,405,2.6511288866184874
trajectory_base_lasso,season,2018,bias,405,-0.7711906274370635
trajectory_base_lasso,season,2018,spearman,405,0.7888963995861643
trajectory_base_lightgbm,season,2018,rmse,405,3.347512698118479
trajectory_base_lightgbm,season,2018,mae,405,2.5837514514939346
trajectory_base_lightgbm,season,2018,bias,405,-0.3284316021251635
trajectory_base_lightgbm,season,2018,spearman,405,0.789212791794085
trajectory_base_random_forest,season,2018,rmse,405,3.365682454144923
trajectory_base_random_forest,season,2018,mae,405,2.5941670837644306
trajectory_base_random_forest,season,2018,bias,405,-0.4048425436703562
trajectory_base_random_forest,season,2018,spearman,405,0.787679413736944
trajectory_base_tree_average,season,2018,rmse,405,3.3477944092847833
trajectory_base_tree_average,season,2018,mae,405,2.581303693516891
trajectory_base_tree_average,season,2018,bias,405,-0.36663707289775976
trajectory_base_tree_average,season,2018,spearman,405,0.7890458809265576
trajectory_base_equal_thirds,season,2018,rmse,405,3.3509808511485106
trajectory_base_equal_thirds,season,2018,mae,405,2.573870373331886
trajectory_base_equal_thirds,season,2018,bias,405,-0.5014882577441943
trajectory_base_equal_thirds,season,2018,spearman,405,0.7950004768952044
qb_yardage_tree_average,season,2018,rmse,405,3.3677591173697596
qb_yardage_tree_average,season,2018,mae,405,2.5974954253466347
qb_yardage_tree_average,season,2018,bias,405,-0.38867388636708694
qb_yardage_tree_average,season,2018,spearman,405,0.789422248748563
qb_yardage_equal_thirds,season,2018,rmse,405,3.3637495707209153
qb_yardage_equal_thirds,season,2018,mae,405,2.5801927821203625
qb_yardage_equal_thirds,season,2018,bias,405,-0.5183984655037472
qb_yardage_equal_thirds,season,2018,spearman,405,0.7956364274194999
qb_tds_tree_average,season,2018,rmse,405,3.361075987507394
qb_tds_tree_average,season,2018,mae,405,2.5921277726915193
qb_tds_tree_average,season,2018,bias,405,-0.38381670579447563
qb_tds_tree_average,season,2018,spearman,405,0.7892627417714424
qb_tds_equal_thirds,season,2018,rmse,405,3.3638200443479107
qb_tds_equal_thirds,season,2018,mae,405,2.5810595820736775
qb_tds_equal_thirds,season,2018,bias,405,-0.5243001243456331
qb_tds_equal_thirds,season,2018,spearman,405,0.7953793737066545
qb_style_tree_average,season,2018,rmse,405,3.348297657599287
qb_style_tree_average,season,2018,mae,405,2.579989003120834
qb_style_tree_average,season,2018,bias,405,-0.3984954650659988
qb_style_tree_average,season,2018,spearman,405,0.7886800806675891
qb_style_equal_thirds,season,2018,rmse,405,3.352865624653214
qb_style_equal_thirds,season,2018,mae,405,2.5723237883015413
qb_style_equal_thirds,season,2018,bias,405,-0.526023277507608
qb_style_equal_thirds,season,2018,spearman,405,0.7946999787565405
team_support_tree_average,season,2018,rmse,405,3.3496275677605336
team_support_tree_average,season,2018,mae,405,2.5828995891173196
