league,domain,position,candidate,rows,seasons,production_rmse,opportunity_control_rmse,candidate_rmse,candidate_delta_vs_production,candidate_delta_vs_opportunity_control,mean_season_delta_vs_control,season_wins_vs_control,season_bootstrap_low,season_bootstrap_high,development_2018_2022_delta_vs_control,temporal_2023_2025_delta_vs_control,q90_rows,q90_rmse_delta_vs_control
dk,rushing,QB,rush_explosive_per_attempt,338,8,3.493443730938272,3.533380472472779,3.5407755219933392,0.04733179105506702,0.0073950495205603595,0.007214533498381304,4,-0.005749528381560056,0.02195177769328649,0.0005005808500855302,0.01931259418691811,38,0.008307666317126206
dk,rushing,QB,rush_yco_per_attempt,338,8,3.493443730938272,3.533380472472779,3.54158427872269,0.0481405477844179,0.008203806249911239,0.008781338250342552,5,-0.012911497523767579,0.036500383232477486,0.010884750602859317,0.0035893820957206835,38,-0.12361652791590938
dk,rushing,QB,rush_breakaway_percent,338,8,3.493443730938272,3.533380472472779,3.542179311251514,0.048735580313241655,0.008798838778734996,0.009406785843277365,5,-0.01407469098533809,0.03553394895386908,0.0020134689928004157,0.020532914439922223,38,0.005725018525962966
dk,rushing,QB,rush_scramble_share,338,8,3.493443730938272,3.533380472472779,3.543852351413566,0.05040862047529382,0.01047187894078716,0.010530676444622133,3,0.0017242990406453051,0.022333978619138106,0.011873175854093976,0.008082128181554182,38,0.021663357153137497
dk,rushing,QB,rush_zone_share,338,8,3.493443730938272,3.533380472472779,3.543988000452887,0.05054426951461499,0.010607527980108333,0.010355507494537841,4,-0.00916983799665222,0.030146891353398594,0.013337952490944716,0.005915736821522355,38,0.08903962282529054
dk,rushing,QB,rush_mtf_per_attempt,338,8,3.493443730938272,3.533380472472779,3.5458509061022996,0.052407175164027375,0.012470433629520716,0.012936569002902687,4,-0.010904358722934326,0.04077910413366215,0.010847018584830614,0.015318019488814283,38,-0.17161691956341674
dk,rushing,QB,rush_breakaway_yards_per_attempt,338,8,3.493443730938272,3.533380472472779,3.5489727792422143,0.05552904830394212,0.01559230676943546,0.01621077346260391,2,-0.0023347807645984664,0.03972356670711086,0.01663131093697423,0.01384714371185547,38,0.01551375685974854
dk,rushing,QB,rush_designed_yards_per_attempt,338,8,3.493443730938272,3.533380472472779,3.550573733703082,0.05713000276480962,0.01719326123030296,0.01799457027109369,2,-0.0005565669494031478,0.04701636929800969,0.02307335392845955,0.007059528158720685,38,-0.009876772308833992
dk,rushing,QB,rush_gap_share,338,8,3.493443730938272,3.533380472472779,3.5547377082630494,0.06129397732477715,0.02135723579027049,0.0221263480949922,3,-0.002238874726288864,0.052102798056385125,0.032899422006058554,0.001381405423118487,38,0.0254916816245494
dk,receiving,RB,rec_yprr,901,8,3.467789791187955,3.4880723443339976,3.485476792789027,0.017687001601072172,-0.002595551544970487,-0.0019342421513436903,5,-0.010629020620601615,0.008686817241167488,3.858804973377872e-05,-0.007175693380629067,93,0.009108430172585003
dk,receiving,RB,rec_first_downs_per_route,901,8,3.467789791187955,3.4880723443339976,3.485538726935468,0.017748935747512906,-0.0025336173985297528,-0.002094000000170071,4,-0.01176738507804536,0.0072393344389516945,-0.001055669574263618,-0.0051022909756870405,93,-0.027732633466606593
dk,receiving,RB,rec_yac_per_route,901,8,3.467789791187955,3.4880723443339976,3.4857166903051797,0.01792689911722478,-0.0023556540288178773,-0.0015011888544017582,4,-0.012843320808695657,0.010413939013750817,-0.0029732899697036963,-0.0012832030438620912,93,-0.045049819249591394
