Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1452,Austin Bryant,DET,DL,17,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.1,0.7,12.26
1452,Blake Bell,KC,TE,17,0,0,0,0.1,0,7.6,68.5,0.3,0,0,0,0,0.7,12.26
1454,Tye Smith,MIN,CB,17,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.7,12.25
1455,Jessie Lemonier,LAC,OLB,17,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.1,0.7,12.19
1456,PJ Walker,CAR,QB,17,261.6,0.9,1.8,8.7,0.2,0,0,0,0,0,0,0,0.7,12.13
1457,Malcolm Koonce,LV,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.1,0.1,0.7,12.09
1457,Ron'Dell Carter,DAL,LB,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,12.09
1459,Darius Hodge,CIN,LB,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.7,12.07
1460,Andrew Brown,IND,DL,17,0,0,0,0,0,0,0,0,0.5,0.1,0.2,0.1,0.7,12.05
1460,Bobby Brown III,LAR,NT,17,0,0,0,0,0,0,0,0,0.5,0.1,0.2,0.1,0.7,12.05
1462,Derrek Tuszka,DEN,OLB,17,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0.1,0.7,12.02
1462,Daniel Brown,NYJ,TE,17,0,0,0,0.1,0,5.4,63.1,0.5,0,0,0,0,0.7,12.02
1464,Boogie Basham,BUF,OLB,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,11.99
1464,Elijah Ponder,TB,OLB,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.7,11.99
1466,Michael Dwumfour,NYJ,DT,17,0,0,0,0,0,0,0,0,0.5,0.1,0.2,0.1,0.7,11.95
