player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ryan O'Callaghan,3081,T,KC,12,100.0,0,16,63.3,60.0,63.9,6,23,472,100.0,100.0,95.2,2,37,8,809,0,0,0,809,508,508,0,807,301,2
John St. Clair,649,T,CLV,14,100.0,0,8,78.5,70.5,82.6,8,12,432,100.0,100.0,96.3,5,26,6,805,0,0,2,805,448,448,0,803,357,0
Stephen Neal,972,G,NE,12,100.0,0,19,91.5,81.7,91.7,1,7,460,100.0,100.0,98.7,6,10,2,792,0,0,0,792,488,488,792,0,304,0
Charlie Johnson,3144,T,IND,12,100.0,0,14,68.2,69.7,64.3,6,26,465,100.0,100.0,96.1,1,34,2,765,0,0,764,765,488,488,0,0,277,1
Mike Gandy,834,T,ARZ,12,100.0,0,1,66.9,56.4,76.6,10,27,462,100.0,100.0,94.0,8,46,9,757,0,0,757,757,493,493,0,0,264,0
Manuel Ramirez,3733,G,DET,13,100.0,0,11,63.9,64.4,64.1,9,20,453,100.0,100.0,96.8,4,29,0,750,0,750,0,750,482,482,0,0,268,0
Cornell Green,551,T,OAK,12,100.0,0,23,69.7,69.3,77.4,6,18,415,100.0,100.0,95.9,13,29,5,737,0,0,0,737,451,451,0,737,286,0
Chris Chester,3001,G,BLT,16,97.0,0,3,67.5,67.0,69.3,1,13,383,94.8,94.6,97.1,3,18,4,737,23,0,2,760,401,424,654,15,336,66
Samson Satele,3676,C,OAK,15,100.0,1,23,72.6,68.7,72.2,4,11,423,100.0,100.0,97.8,2,17,2,737,729,8,0,737,449,449,0,0,288,0
Chris Kemoeatu,2421,G,PIT,12,100.0,2,25,74.0,70.0,75.1,3,9,419,100.0,100.0,97.6,6,16,4,735,0,735,0,735,440,440,0,0,295,0
Jeff Faine,1337,C,TB,12,100.0,0,30,64.1,60.4,63.5,4,12,416,100.0,100.0,97.8,1,17,1,735,735,0,0,735,438,438,0,0,297,0
Kyle DeVan,4608,G,IND,14,100.0,0,14,80.4,66.8,83.6,1,19,440,100.0,100.0,97.7,2,20,0,729,0,0,1,729,465,465,728,0,264,0
Frank Omiyale,2380,G,CHI,13,100.0,0,6,69.1,68.9,73.5,4,12,434,100.0,100.0,97.7,8,18,2,727,0,727,0,727,457,457,0,0,270,0
Chad Clifton,614,T,GB,12,100.0,0,12,72.0,79.3,63.7,4,16,430,100.0,100.0,97.0,9,23,3,718,0,0,718,718,462,462,0,0,256,0
Chris Morris,3159,G,OAK,12,100.0,0,23,52.7,51.2,55.2,10,12,403,100.0,100.0,96.8,8,24,2,706,258,448,0,706,429,429,0,0,277,0
Kareem McKenzie,840,T,NYG,12,100.0,1,21,85.5,69.7,92.4,1,22,370,100.0,100.0,96.4,3,25,2,706,0,0,0,706,396,396,0,702,310,4
Todd Herremans,2343,G,PHI,11,100.0,0,24,77.7,67.0,80.9,6,17,401,100.0,100.0,96.6,6,25,2,691,0,562,128,691,430,430,0,1,261,0
Jared Gaither,4279,T,BLT,11,100.0,1,3,84.2,83.9,79.1,2,6,361,100.0,100.0,97.8,8,12,4,688,0,0,685,688,385,385,0,0,303,3
Harvey Dahl,2553,G,ATL,11,100.0,1,2,77.6,69.9,78.1,1,10,378,100.0,100.0,97.8,4,14,3,686,0,0,0,686,405,405,686,0,281,0
Richie Incognito,2298,G,BUF,12,100.0,0,4,77.2,75.8,82.5,1,4,370,100.0,100.0,98.5,10,8,3,683,0,0,0,683,390,390,683,0,293,0
Dennis Roland,3485,T,CIN,16,96.3,1,7,75.0,66.0,85.2,3,8,296,92.2,92.4,96.1,7,17,6,681,0,0,27,707,317,343,0,578,364,101
Jake Grove,1766,C,MIA,12,100.0,0,17,86.2,86.9,85.1,1,5,334,100.0,100.0,99.1,6,6,0,679,679,0,0,679,354,354,0,0,325,0
Matt Light,818,T,NE,11,99.9,0,19,74.5,73.0,69.4,6,16,362,99.7,99.7,96.4,2,24,2,673,0,0,662,674,387,388,0,4,286,8
