player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Rashee Rice,97605,WR,KC,8,4.9,8,68.8,25.0,4,16,0,10.2,6,-0.01,27,16,1,53.9,25.6,76.4,65.2,77.2,0.0,0,1,47,0.3,1,288,2,44.0,53,92.0,265,44.1,127,106.6,77,5,54.9,158,571,427,8.1,10.8,2.15
Chigoziem Okonkwo,84000,TE,TEN,17,4.9,13,73.7,71.4,5,7,0,5.1,3,-0.21,24,31,0,76.0,80.2,59.9,60.5,67.1,38.4,187,1,43,7.2,35,487,3,37.3,56,86.2,420,46.0,224,97.5,76,2,14.0,68,560,345,6.2,10.0,1.33
Jordan Addison,123000,WR,MIN,14,14.5,3,56.8,46.2,6,13,0,14.3,7,-0.19,26,18,0,36.9,78.7,64.9,,61.7,0.2,1,4,81,0.0,0,473,0,42.3,42,94.5,447,20.9,99,74.7,74,3,78.4,371,610,135,3.2,14.5,1.36
Chimere Dike,129918,WR,TEN,17,8.0,2,65.8,33.3,1,3,1,4.0,2,-0.24,20,31,0,79.6,79.6,61.4,24.1,65.1,0.0,0,1,38,0.0,0,441,4,36.5,48,93.9,414,68.0,300,93.6,73,4,31.1,137,423,226,4.7,8.8,1.02
Marquise Brown,61568,WR,KC,16,11.8,6,68.1,40.0,4,10,0,2.0,1,0.06,29,16,1,86.2,36.0,69.8,,70.4,0.0,0,2,51,0.0,0,421,1,46.3,49,93.3,393,37.8,159,104.3,72,5,61.8,260,587,190,3.9,12.0,1.49
Theo Johnson,129787,TE,NYG,15,8.9,3,62.5,63.2,12,19,0,13.5,7,-0.04,24,21,0,33.8,78.8,57.9,41.0,62.0,30.5,162,2,42,12.6,67,531,3,42.2,45,80.6,428,49.5,263,96.3,72,5,13.7,73,528,192,4.3,11.7,1.23
Zach Ertz,7816,TE,WAS,13,9.3,2,69.4,64.3,9,14,0,12.3,7,-0.03,25,32,1,47.2,39.8,60.7,30.9,63.2,29.1,119,2,30,1.2,5,409,5,47.2,50,90.5,370,58.4,239,96.1,72,4,12.2,50,504,130,2.6,10.1,1.36
Xavier Worthy,144718,WR,KC,14,12.5,8,58.3,44.4,4,9,0,4.5,2,0.12,22,16,0,76.3,81.7,67.0,,66.3,0.0,0,1,42,0.0,0,455,1,49.5,42,93.2,424,30.3,138,80.3,72,1,69.0,314,532,207,4.9,12.7,1.25
Marvin Harrison Jr.,145056,WR,ARZ,12,13.9,3,56.9,47.4,9,19,0,10.9,5,0.03,30,1,0,47.7,78.3,68.4,,67.6,0.0,0,2,45,0.0,0,412,0,47.4,41,93.2,384,23.3,96,91.7,72,4,76.7,316,608,118,2.9,14.8,1.58
Evan Engram,11778,TE,DEN,16,4.2,5,70.4,50.0,4,8,0,7.4,4,0.06,19,10,0,65.6,79.6,56.9,74.2,58.3,42.6,166,0,41,2.3,9,390,2,45.2,50,93.1,363,43.3,169,92.5,71,1,12.3,48,461,296,5.9,9.2,1.27
Adonai Mitchell,146712,WR,NYJ,16,15.2,2,46.5,50.0,5,10,0,15.4,6,-0.27,15,22,1,35.1,26.3,59.7,,59.9,0.0,0,5,75,0.0,0,323,1,40.3,33,96.0,310,18.3,59,47.4,71,2,81.7,264,453,87,2.6,13.7,1.46
Darnell Mooney,48236,WR,ATL,15,14.4,2,45.7,20.0,2,10,0,15.8,6,-0.08,25,2,2,33.8,20.8,52.5,,52.4,0.0,0,0,49,0.0,0,486,0,43.8,32,94.4,459,37.2,181,71.3,70,1,62.8,305,443,73,2.3,13.8,0.97
Oronde Gadsden II,144046,TE,LAC,15,9.4,3,72.1,66.7,8,12,0,10.9,6,-0.02,28,27,1,51.4,36.7,64.1,70.2,71.5,40.0,176,3,53,4.8,21,440,2,49.4,49,90.7,399,44.8,197,99.1,68,3,14.1,62,664,217,4.4,13.6,1.66
Ashton Jeanty,157196,HB,LV,17,-1.6,23,80.9,0.0,0,4,1,6.8,4,-0.19,13,23,1,67.1,66.8,70.4,34.1,66.7,0.2,1,2,60,18.9,88,466,2,42.3,55,77.0,359,2.8,13,100.1,68,5,4.1,19,346,461,8.4,6.3,0.96
Cooper Kupp,11824,WR,SEA,16,8.5,10,70.1,50.0,5,10,0,6.0,3,0.0,26,29,1,71.0,35.9,70.2,55.1,70.8,0.2,1,3,67,0.7,3,453,1,47.9,47,93.6,424,48.1,218,88.7,67,2,50.1,227,593,290,6.2,12.6,1.4
Jayden Higgins,150240,WR,HST,17,12.4,3,61.2,41.7,5,12,1,2.4,1,0.06,28,13,0,83.0,78.3,68.4,34.7,70.9,0.3,1,2,75,0.8,3,391,4,44.1,41,92.8,363,21.5,84,103.1,67,6,78.0,305,525,123,3.0,12.8,1.45
George Kittle,11901,TE,SF,11,7.1,5,86.4,84.6,11,13,1,3.4,2,0.08,38,28,0,82.0,80.3,90.8,72.2,91.2,61.0,202,0,33,9.1,30,331,1,49.2,57,88.2,292,29.0,96,141.7,66,7,7.3,24,628,259,4.5,11.0,2.15
Mark Andrews,47436,TE,BLT,17,8.0,3,73.8,58.3,7,12,1,5.9,3,-0.02,24,3,1,72.4,44.6,64.4,50.2,61.6,12.8,50,3,27,4.9,19,390,7,46.3,48,88.2,344,69.2,270,97.1,65,5,17.9,70,422,103,2.1,8.8,1.23
Mack Hollins,11873,WR,NE,15,13.3,1,71.9,61.5,8,13,1,0.0,0,0.17,28,19,1,90.3,35.8,67.5,72.2,68.9,4.1,15,2,54,0.8,3,363,2,52.0,46,94.5,343,23.4,85,95.2,64,2,71.9,261,550,112,2.4,12.0,1.6
AJ Barner,129433,TE,SEA,17,5.3,5,81.3,66.7,6,9,1,3.7,2,0.05,26,29,2,80.4,26.6,74.4,65.4,76.9,83.4,386,2,61,16.8,78,463,6,48.7,52,78.0,361,11.7,54,118.7,64,6,3.5,16,519,268,5.2,10.0,1.44
T.J. Hockenson,40912,TE,MIN,15,5.2,5,79.7,60.0,3,5,0,7.3,4,-0.17,22,18,0,64.8,79.5,61.2,55.4,62.6,43.1,207,0,29,7.3,35,480,4,42.9,51,87.1,418,39.8,191,110.8,64,3,16.7,80,438,224,4.4,8.6,1.05
Olamide Zaccheaus,44920,WR,CHI,16,7.4,3,61.9,70.0,7,10,0,13.3,6,0.1,15,6,0,33.9,78.7,54.8,76.5,55.4,0.0,0,1,27,1.4,5,363,1,45.0,39,92.3,335,50.1,182,78.3,63,2,49.9,181,313,144,3.7,8.0,0.93
