player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Justin Fargas,1410,HB,OAK,12,-0.4,1,89.5,,0,0,0,5.6,1,5,23,0,68.7,72.4,57.9,59.9,62.4,0.0,0,0,14,46.7,91,195,2,17,51.3,100,0.0,0,91.4,19,0,2.1,4,113,122,7.2,6.6,1.13
Chris Brown,1407,HB,HST,14,0.4,1,84.2,,0,0,0,5.9,1,1,13,0,66.7,62.3,53.4,58.2,53.2,0.0,0,0,12,33.1,60,181,0,16,64.1,116,1.1,2,82.9,19,0,1.1,2,74,65,4.1,4.6,0.64
Larry Johnson,1343,HB,CIN,13,-0.9,2,78.9,,0,0,0,6.3,1,4,7,0,67.7,64.2,47.8,61.9,55.9,0.0,0,0,22,33.9,64,189,0,15,61.4,116,2.6,5,84.2,19,0,1.1,2,80,93,6.2,5.3,0.69
Lance Moore,2718,WR,NO,7,7.7,0,77.8,,0,0,0,6.7,1,10,20,0,64.7,72.7,72.8,,70.2,0.0,0,1,22,0.0,0,89,0,14,96.6,86,33.7,30,116.0,18,2,66.3,59,153,43,3.1,10.9,1.78
Lousaka Polite,2152,FB,MIA,16,1.5,1,61.1,,0,0,0,15.4,2,3,17,0,43.8,42.8,77.7,73.5,45.8,3.1,7,0,10,31.7,72,227,1,11,67.0,152,1.3,3,65.5,18,0,1.8,4,51,47,4.3,4.6,0.34
Ernest Wilford,1841,TE,JAX,15,10.1,2,61.1,,0,0,0,8.3,1,6,15,0,60.2,71.5,56.9,41.8,52.7,57.4,108,0,30,10.1,19,188,1,11,87.8,165,35.6,67,100.0,18,1,5.9,11,123,40,3.6,11.2,0.75
Michael Bush,3716,HB,OAK,15,-1.8,2,94.4,,0,0,0,5.6,1,3,23,1,71.4,54.1,56.6,84.0,45.7,0.0,0,0,17,38.9,82,211,0,17,57.3,121,0.0,0,91.0,18,0,2.4,5,105,141,8.3,6.2,0.87
Chris Baker,1091,TE,NE,16,6.8,0,77.8,,0,0,0,0.0,0,6,19,0,80.6,72.7,74.0,74.9,54.3,71.0,225,0,36,37.2,118,317,3,14,59.9,190,23.7,75,136.6,18,2,5.0,16,142,33,2.4,10.1,0.75
Ronnie Brown,2219,HB,MIA,9,1.3,1,77.8,,0,0,0,6.7,1,5,17,0,66.7,75.6,60.7,71.9,58.8,0.5,1,0,27,33.5,63,188,0,14,60.6,114,4.8,9,89.4,18,0,1.6,3,98,88,6.3,7.0,0.86
Todd Watkins,3163,WR,OAK,11,18.1,0,44.4,,0,0,0,11.1,1,4,23,0,54.5,70.1,60.3,43.9,59.3,0.0,0,2,28,0.0,0,102,1,8,96.1,98,74.5,76,20.4,18,0,25.5,26,90,24,3.0,11.3,0.92
Brandon Lloyd,1436,WR,DEN,2,13.6,0,44.4,,0,0,0,20.0,2,5,10,0,56.7,70.6,68.3,,66.0,0.0,0,1,44,0.0,0,87,0,8,94.3,82,16.1,14,43.1,18,0,83.9,73,117,24,3.0,14.6,1.43
Rashad Jennings,5174,HB,JAX,15,0.5,2,88.9,,0,0,0,0.0,0,4,15,0,81.7,82.4,59.8,73.1,69.2,0.0,0,0,14,22.2,26,117,0,16,75.2,88,0.0,0,90.0,18,0,0.9,1,101,101,6.3,6.3,1.15
Brian Clark,3271,WR,TB,13,10.4,0,35.3,,0,0,0,25.0,2,3,30,0,29.8,68.8,51.4,,52.1,0.0,0,1,17,0.0,0,81,1,6,95.1,77,34.6,28,22.9,17,0,65.4,53,65,14,2.3,10.8,0.84
Brian Robiskie,4959,WR,CLV,10,16.6,1,43.8,,0,0,0,0.0,0,6,8,0,76.5,70.1,56.3,,55.7,0.0,0,2,43,0.0,0,146,0,7,96.6,141,13.7,20,26.6,16,0,86.3,126,106,47,6.7,15.1,0.75
