player,pos,template_pool_key,target_capped_year_exp,template_count,weighted_played_games,template_extended_absence_prob,raw_template_perf_cliff_prob,weighted_template_raw_exp,min_template_raw_exp,max_template_raw_exp
Michael Pittman,WR,2026|beta|final_ensemble|WR|michael_pittman,6.0,80,11.65559753666051,0.19665820286645277,0.08917462795161628,6.202660051718055,4.0,14.0
Quentin Johnston,WR,2026|beta|final_ensemble|WR|quentin_johnston,3.0,80,12.441950045503424,0.13326951161278083,0.1442926716071505,3.090448800425187,1.0,9.0
Jayden Reed,WR,2026|beta|final_ensemble|WR|jayden_reed,3.0,80,12.423510689009523,0.13687177688202287,0.14767325799361652,3.1961807959626185,1.0,14.0
Wan'Dale Robinson,WR,2026|beta|final_ensemble|WR|wan_dale_robinson,5.0,80,11.676643009252642,0.17885838625921044,0.08133293595942379,5.029543427875963,3.0,14.0
Josh Downs,WR,2026|beta|final_ensemble|WR|josh_downs,3.0,80,12.458521042373391,0.18862568506999347,0.1440954824185852,3.0618473408685865,0.0,14.0
Chris Godwin,WR,2026|beta|final_ensemble|WR|chris_godwin,9.0,80,12.068457168309404,0.1378941860694008,0.1109127652831894,9.223601421103647,6.0,16.0
Xavier Worthy,WR,2026|beta|final_ensemble|WR|xavier_worthy,2.0,80,12.182923364401422,0.13129716296439187,0.1476289181300689,2.152216926779477,0.0,10.0
Matthew Golden,WR,2026|beta|final_ensemble|WR|matthew_golden,1.0,80,11.544950097184739,0.1815427664230442,0.1599558304973178,1.2475825892200285,0.0,6.0
Ricky Pearsall,WR,2026|beta|final_ensemble|WR|ricky_pearsall,2.0,80,12.070169874259904,0.15154237054498954,0.11925587832337763,2.137624216233519,0.0,10.0
Jordan Addison,WR,2026|beta|final_ensemble|WR|jordan_addison,3.0,80,11.793290132838985,0.23353718757414804,0.1357382558676581,3.4516247044024255,1.0,15.0
Kc Concepcion,WR,2026|beta|final_ensemble|WR|kc_concepcion,0.0,80,10.847732742882735,0.2359177146672677,0.25763575589851934,0.488751194766164,0.0,6.0
Jakobi Meyers,WR,2026|beta|final_ensemble|WR|jakobi_meyers,8.0,80,11.649666850596404,0.17422943816329628,0.10753498009750932,8.347289459674084,5.0,16.0
Jayden Higgins,WR,2026|beta|final_ensemble|WR|jayden_higgins,1.0,80,10.918013779755137,0.23786027278138439,0.13602255024583138,1.4283763814546226,0.0,10.0
Romeo Doubs,WR,2026|beta|final_ensemble|WR|romeo_doubs,4.0,80,11.305489255981135,0.20160831515859662,0.13705254006982684,4.3937810438888505,2.0,15.0
Omar Cooper,WR,2026|beta|final_ensemble|WR|omar_cooper,0.0,80,10.591489068553024,0.26055989175701927,0.1807018895499661,0.3251963282750645,0.0,4.0
Khalil Shakir,WR,2026|beta|final_ensemble|WR|khalil_shakir,4.0,80,11.173908762452625,0.21131139648255318,0.13876495889819543,4.239525848047547,2.0,15.0
Denzel Boston,WR,2026|beta|final_ensemble|WR|denzel_boston,0.0,80,10.443420519046887,0.27999740061133493,0.147340121451359,0.316297118562325,0.0,4.0
Jalen Coker,WR,2026|beta|final_ensemble|WR|jalen_coker,2.0,80,10.7569857947626,0.26222803770654807,0.12140222774901403,2.401458557116059,0.0,10.0
Germie Bernard,WR,2026|beta|final_ensemble|WR|germie_bernard,0.0,80,9.595165001193843,0.413147713493533,0.11227141474972009,0.25485998433182333,0.0,2.0
Antonio Williams,WR,2026|beta|final_ensemble|WR|antonio_williams,0.0,80,9.497206949376663,0.4353998886595865,0.11336419193939708,0.3374285230292928,0.0,4.0
Tre Tucker,WR,2026|beta|final_ensemble|WR|tre_tucker,3.0,80,11.02159258414297,0.22411521671780524,0.12421381666299536,2.6659192814846455,1.0,9.0
Jalen Mcmillan,WR,2026|beta|final_ensemble|WR|jalen_mcmillan,2.0,80,10.035008808551071,0.37616098161937317,0.08833964129129396,1.605188142758427,1.0,9.0
Rashid Shaheed,WR,2026|beta|final_ensemble|WR|rashid_shaheed,4.0,80,10.930842300906443,0.17956652904530573,0.12416554523444248,3.319974110037304,2.0,8.0
Jalen Nailor,WR,2026|beta|final_ensemble|WR|jalen_nailor,4.0,80,10.823557506748907,0.21178925441314875,0.1179509541031693,3.2094445339217432,2.0,7.0
Jerry Jeudy,WR,2026|beta|final_ensemble|WR|jerry_jeudy,6.0,80,10.07016087250378,0.31683113052240347,0.08829487375586956,4.711661863040471,3.0,8.0
Ryan Flournoy,WR,2026|beta|final_ensemble|WR|ryan_flournoy,2.0,80,9.234884257601294,0.4419802271552133,0.04997313594375657,1.0739401325447444,1.0,5.0
Jauan Jennings,WR,2026|beta|final_ensemble|WR|jauan_jennings,6.0,80,10.067397186070306,0.33698097352370615,0.08426198343040239,4.782210748058894,4.0,8.0
Malik Washington,WR,2026|beta|final_ensemble|WR|malik_washington,2.0,80,10.099243508794434,0.33150275686278347,0.08918510052406604,1.25139895799325,1.0,6.0
Adonai Mitchell,WR,2026|beta|final_ensemble|WR|adonai_mitchell,2.0,80,10.02460208657361,0.3324212937825347,0.0980467080770931,1.1759207890299301,1.0,6.0
Travis Hunter,WR,2026|beta|final_ensemble|WR|travis_hunter,1.0,80,8.418416592965894,0.5574553335397924,0.06106696723389229,0.7391537058438814,0.0,5.0
Tre Harris,WR,2026|beta|final_ensemble|WR|tre_harris,1.0,80,8.394521132813058,0.5591615931362003,0.05937112001427582,0.6801932094884823,0.0,5.0
Isaac Teslaa,WR,2026|beta|final_ensemble|WR|isaac_teslaa,1.0,80,8.425374110584494,0.5558182822626674,0.0479177368954238,0.6479381526830866,0.0,5.0
Cooper Kupp,WR,2026|beta|final_ensemble|WR|cooper_kupp,9.0,80,10.018140323939614,0.3284551001463347,0.08958860600191834,5.597991355034776,5.0,13.0
