Full Name,Position,20-Yard Shuttle,Athleticism Score,SPARQ-x,3-Cone Drill,Bench Press,Speed Score,40-Yard Dash,Broad Jump,Vertical Jump,Burst Score,Agility Score,Hand Size,Age,Arm Length,Height (Inches),Weight,Draft Pick,BMI,Breakout Age,College YPC,Breakout Year,College Dominator Rating,College Target Share
Trey Edmunds,RB,-,-,-,7.25,-,105.9,4.53,122,35.5,121.4,-,9.38,23.6,32.38,73,223 lbs,Undrafted,29.4,18.7,5.1,2013,0.16,0.06
Trey Watts,RB,4.37,91.7,73.2,6.94,8,76.4,4.83,110,26.5,100.1,11.31,9.13,27.5,29.13,69,208 lbs,Undrafted,30.7,20.6,5,2011,0.42,0.17
Trey Williams,RB,4.12,101.7,114,6.84,18,96,4.49,119,33.5,116.5,10.96,8.25,25.7,29.88,67,195 lbs,Undrafted,30.5,-,7,-,0.12,0.03
Troymaine Pope,RB,4.21,103.8,122.3,6.87,25,91.6,4.6,120,35,119.5,11.08,9.63,24.7,30.13,68,205 lbs,Undrafted,31.2,21.8,8.2,2015,0.26,-
Ty Issac,RB,-,-,-,-,-,-,-,-,-,-,-,10.13,23.8,32,74,227 lbs,Undrafted,29.1,-,6.2,-,0.13,0.01
Ty Montgomery,RB,4.21,100.7,116.8,6.97,16,100.8,4.55,121,40.5,129.4,11.18,10.13,25.5,31,72,216 lbs,3.3,29.3,20.6,9.2,2013,0.18,0.32
Tyler Ervin,RB,4.34,99.2,114.7,7.03,17,101.5,4.41,130,39,131.3,11.37,9.13,24.8,29.75,70,192 lbs,4.21,27.5,20.9,5.4,2014,0.35,0.14
Tyler Gaffney,RB,4.18,100.5,114.6,6.78,15,108.3,4.49,116,36.5,120.1,10.96,9,27.3,30.25,72,220 lbs,6.28,29.8,22.4,5.2,2013,0.37,0.06
Tyler Varga,RB,4.37,101.8,116.3,7.21,23,91,4.7,117,38.5,124,11.58,10.63,24.9,30.38,71,222 lbs,Undrafted,31,19,6.1,2012,0.35,-
Vick Ballard,RB,4.19,101.6,116.8,7.03,23,93.7,4.65,115,33,113.6,11.22,9.5,28.1,31.75,70,219 lbs,5.35,31.4,20.1,5.7,2010,0.31,0.09
Wayne Gallman,RB,4.28,96.7,107.5,7.17,21,96,4.6,120,29.5,110.2,11.45,9.13,23.9,32.63,72,215 lbs,4.34,29.2,20.9,5.1,2015,0.21,0.07
Wendell Smallwood,RB,4.28,99.5,105.3,6.83,14,104.2,4.47,120,33.5,117,11.11,9.25,24.5,30.5,70,208 lbs,5.14,29.8,21.6,6.4,2015,0.22,0.08
William Stanback,RB,4.59,104.4,110.2,6.9,23,104.1,4.6,122,34,118.8,11.49,9.13,24.1,32.25,71,233 lbs,Undrafted,32.5,20.2,6.3,2014,0.42,0.05
Zac Brooks,RB,4.38,95.2,108.6,7.09,18,97.5,4.5,129,36,125.7,11.47,8.75,25.5,31.5,73,200 lbs,7.26,26.4,-,4.6,-,0.06,0.03
Zac Stacy,RB,4.17,109.5,130.3,6.7,27,104.5,4.55,122,33,117.1,10.87,8.63,27.3,30.25,68,224 lbs,5.27,34.1,18.4,5.7,2009,0.29,0.08
Zach Bauman,RB,4.12,95.6,105.2,6.92,13,93.3,4.55,108,34,111.8,11.04,8.88,26,29.88,70,200 lbs,Undrafted,28.7,18.1,5.4,2010,0.41,-
Zach Laskey,RB,4.17,101.2,116.1,6.94,19,102.7,4.64,124,35,121.5,11.11,10.13,26.1,31.13,74,238 lbs,Undrafted,30.6,22.2,5,2014,0.18,0.05
Zach Line,RB,4.4,100.8,114,7.12,26,89.6,4.77,117,33,114.6,11.52,8.75,28.3,30.75,72,232 lbs,Undrafted,31.5,20.4,5.2,2010,0.33,0.1
Zach Zenner,RB,4.14,105.7,134.5,7.08,25,99.6,4.6,121,41,130.2,11.22,9.63,26.9,32,71,223 lbs,Undrafted,31.1,21,6.4,2012,0.44,-
Zurlon Tipton,RB,4.48,96.7,93.4,6.89,17,87.2,4.75,119,32,113.9,11.37,9.38,28.3,32.13,72,222 lbs,Undrafted,30.1,22.4,5.9,2012,0.4,0.09
