variant,slice_type,slice_value,n_rows,base_rmse,variant_rmse,delta_variant_minus_base
feature_expert_ppg_exp_diff,season,2020,420,3.21654205391773,3.2302446615324825,0.013702607614752615
feature_expert_ppg_exp_diff,season,2021,417,3.119162868251882,3.118075800525029,-0.0010870677268530748
feature_expert_ppg_exp_diff,season,2022,426,2.912494131926024,2.8893469298156274,-0.02314720211039667
feature_expert_ppg_exp_diff,season,2023,415,3.2511888372285926,3.250569813724302,-0.0006190235042904391
feature_expert_ppg_exp_diff,season,2024,408,3.1651174604479353,3.1855212953254166,0.02040383487748132
feature_expert_ppg_exp_diff,season,2025,416,2.956132799760705,2.9574645638350963,0.001331764074391284
feature_expert_ppg_exp_diff,history_depth,other_no_history,27,2.683229893444979,2.650180798399146,-0.03304909504583309
feature_expert_ppg_exp_diff,history_depth,rookie,532,3.470501815737368,3.4735219662657,0.003020150528332266
feature_expert_ppg_exp_diff,history_depth,second_year,568,3.258843318101201,3.2444593817323653,-0.014383936368835837
feature_expert_ppg_exp_diff,history_depth,veteran_with_history,2574,3.052062651537221,3.0547180990184915,0.0026554474812705564
feature_expert_ppg_exp_diff,provider_depth,one,119,2.8932176885280905,2.89429608207436,0.001078393546269485
feature_expert_ppg_exp_diff,provider_depth,three_plus,3047,3.2706088405011813,3.272386353721983,0.001777513220801552
feature_expert_ppg_exp_diff,provider_depth,two,535,2.3765663836214497,2.360319251817679,-0.016247131803770465
feature_expert_ppg_exp_diff,provider_era,2017_2019,1199,3.227010522814891,3.2222862175973646,-0.0047243052175263145
feature_expert_ppg_exp_diff,provider_era,2020_2022,1263,3.0844595250220497,3.0815143684107014,-0.0029451566113483096
feature_expert_ppg_exp_diff,provider_era,2023_plus,1239,3.126249113214146,3.133272926544524,0.007023813330377937
feature_expert_ppg_exp_peer_mean,position,QB,380,3.5542832746901687,3.565576991851483,0.01129371716131411
feature_expert_ppg_exp_peer_mean,position,RB,1016,3.5341047348252035,3.5415522298526083,0.007447495027404827
feature_expert_ppg_exp_peer_mean,position,TE,802,2.316663889789086,2.321843038467119,0.005179148678033041
feature_expert_ppg_exp_peer_mean,position,WR,1503,3.1397589461348736,3.144706134781635,0.004947188646761358
feature_expert_ppg_exp_peer_mean,season,2017,407,3.0876701968213047,3.1036383736171906,0.015968176795885913
feature_expert_ppg_exp_peer_mean,season,2018,405,3.3567385278368245,3.38802896439966,0.03129043656283548
feature_expert_ppg_exp_peer_mean,season,2019,387,3.231893696301381,3.234250023654146,0.002356327352765142
feature_expert_ppg_exp_peer_mean,season,2020,420,3.21654205391773,3.2206607987366294,0.004118744818899511
feature_expert_ppg_exp_peer_mean,season,2021,417,3.119162868251882,3.1172451857916434,-0.0019176824602387121
feature_expert_ppg_exp_peer_mean,season,2022,426,2.912494131926024,2.9020837476800616,-0.010410384245962412
feature_expert_ppg_exp_peer_mean,season,2023,415,3.2511888372285926,3.2526569145431106,0.0014680773145179238
feature_expert_ppg_exp_peer_mean,season,2024,408,3.1651174604479353,3.1693678149026954,0.004250354454760075
feature_expert_ppg_exp_peer_mean,season,2025,416,2.956132799760705,2.965539778568655,0.00940697880795005
feature_expert_ppg_exp_peer_mean,history_depth,other_no_history,27,2.683229893444979,2.656033607092508,-0.027196286352471066
feature_expert_ppg_exp_peer_mean,history_depth,rookie,532,3.470501815737368,3.479260586617436,0.008758770880068045
feature_expert_ppg_exp_peer_mean,history_depth,second_year,568,3.258843318101201,3.2680701891936224,0.009226871092421263
feature_expert_ppg_exp_peer_mean,history_depth,veteran_with_history,2574,3.052062651537221,3.057621540678859,0.005558889141638268
feature_expert_ppg_exp_peer_mean,provider_depth,one,119,2.8932176885280905,2.8939804217633363,0.0007627332352457827
feature_expert_ppg_exp_peer_mean,provider_depth,three_plus,3047,3.2706088405011813,3.277486613585358,0.006877773084176919
feature_expert_ppg_exp_peer_mean,provider_depth,two,535,2.3765663836214497,2.3814139569524015,0.004847573330951871
feature_expert_ppg_exp_peer_mean,provider_era,2017_2019,1199,3.227010522814891,3.2439731378148866,0.01696261499999574
feature_expert_ppg_exp_peer_mean,provider_era,2020_2022,1263,3.0844595250220497,3.0819379825647477,-0.002521542457301962
feature_expert_ppg_exp_peer_mean,provider_era,2023_plus,1239,3.126249113214146,3.1311660490013837,0.00491693578723762
feature_expert_ppg_exp_percentile,position,QB,380,3.5542832746901687,3.5557828862713223,0.001499611581153637
feature_expert_ppg_exp_percentile,position,RB,1016,3.5341047348252035,3.5228890912847897,-0.011215643540413822
feature_expert_ppg_exp_percentile,position,TE,802,2.316663889789086,2.318650779687432,0.001986889898345723
feature_expert_ppg_exp_percentile,position,WR,1503,3.1397589461348736,3.1466385736200637,0.00687962748519011
feature_expert_ppg_exp_percentile,season,2017,407,3.0876701968213047,3.125231202794551,0.037561005973246075
feature_expert_ppg_exp_percentile,season,2018,405,3.3567385278368245,3.3721102392321876,0.015371711395363086
