"Full Name",Position,"Catch Radius","3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"40-Yard Dash","Broad Jump","Burst Score","Agility Score","Vertical Jump"
"Tyrell Williams",WR,10.42,6.74,-,104.1,-,4.48,127,130.7,10.91,39.5
"Tyron Johnson",WR,9.77,7.07,16,102.1,101.0,4.41,116,109.0,11.47,30.0
"Ventell Bryant",WR,10.07,6.97,12,91.1,97.0,4.66,121,119.2,11.22,34.5
"Vernon Johnson",WR,9.86,7.37,18,84.1,101.2,4.61,127,126.4,11.84,37.0
"Victor Bolden",WR,9.75,6.83,9,78.1,91.3,4.54,117,112.9,11.05,32.0
"Victor Cruz",WR,10.22,6.96,16,96.4,118.7,4.52,125,133.1,11.13,41.5
"Vince Papale",WR,9.61,7.46,15,87.6,95.0,4.63,124,117.3,11.85,32.5
"Vincent Brown",WR,9.96,6.64,12,77.0,92.3,4.68,121,117.5,10.89,33.5
"Vincent Jackson",WR,10.47,6.84,23,122.6,140.2,4.46,129,130.8,10.84,39.0
"Vyncint Smith",WR,10.25,6.89,-,103.7,-,4.43,130,132.2,11.16,39.5
"Walter Powell",WR,9.85,6.70,10,80.0,89.5,4.63,120,113.6,10.93,31.5
"Wendall Williams",WR,10.48,6.64,-,103.3,-,4.32,127,140.0,10.75,45.0
"Wes Welker",WR,9.65,7.09,-,71.7,-,4.70,113,107.5,11.10,30.0
"Will Fuller",WR,9.97,6.93,10,105.3,104.0,4.32,126,120.0,11.20,33.5
"Willie Snead",WR,9.79,7.19,11,83.3,89.5,4.62,113,113.5,11.58,33.5
"Wyatt Demps",WR,9.73,7.47,9,81.1,79.0,4.78,121,119.2,12.06,34.5
"Xavier Ubosi",WR,9.76,7.50,14,96.1,92.4,4.63,125,119.5,12.03,33.5
"Zach Pascal",WR,10.04,7.11,14,103.6,106.1,4.55,126,124.2,11.40,36.0
"Zay Jones",WR,10.30,6.79,15,103.9,119.7,4.45,133,128.6,10.80,36.5
