candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
component_rank_w150,production,temporal_2023_2025,extended_absence_brier_row,540,3,-2.0554175923287944e-05,-0.00023999197651389668,0.000278339958860036,0.626
raw_component_w100,production,all_2017_2025,ppg_crps,1620,9,0.004181514005997265,0.00099204290998776,0.007920405994922823,0.003
raw_component_w100,production,all_2017_2025,contribution_crps,1620,9,0.022203276750270107,0.005684721636085567,0.04080107845844324,0.0015
raw_component_w100,production,all_2017_2025,played_crps,1620,9,0.004655775952905547,0.0007172174110459846,0.008537296640236627,0.0105
raw_component_w100,production,all_2017_2025,plus3_brier_row,1620,9,0.0008002350592676532,-7.298677037784754e-06,0.0016616633984701107,0.027
raw_component_w100,production,all_2017_2025,plus5_brier_row,1620,9,-0.00011410950918378272,-0.0006453734215876641,0.00030498764142596844,0.655
raw_component_w100,production,all_2017_2025,impact_brier_row,1620,9,0.0006790859162179935,6.753732671044896e-05,0.0012780451057273934,0.016
raw_component_w100,production,all_2017_2025,zero_brier_row,1620,9,-0.000158843253878595,-0.0004562030684628613,0.00016419457931235822,0.8205
raw_component_w100,production,all_2017_2025,extended_absence_brier_row,1620,9,0.0005757189184691812,0.0002792445595310638,0.0008767843698238987,0.0
raw_component_w100,production,development_2017_2022,ppg_crps,1080,6,0.0031799467360699345,0.0002285601304604444,0.0059944253488805254,0.017
raw_component_w100,production,development_2017_2022,contribution_crps,1080,6,0.018461448278002255,0.0009407511311021927,0.0383411325222492,0.013
raw_component_w100,production,development_2017_2022,played_crps,1080,6,0.0032123592248619417,-0.0008990467764528977,0.007308062066971217,0.071
raw_component_w100,production,development_2017_2022,plus3_brier_row,1080,6,0.0007543144289014629,-0.00016180679797896667,0.0017410969665197515,0.0565
raw_component_w100,production,development_2017_2022,plus5_brier_row,1080,6,-0.00031538285411645303,-0.0009945566331121508,0.00018816869389961805,0.8195
raw_component_w100,production,development_2017_2022,impact_brier_row,1080,6,0.000514681079089817,-0.0004289648415248353,0.0013202465330126316,0.136
raw_component_w100,production,development_2017_2022,zero_brier_row,1080,6,-0.0003491249042106815,-0.0006093755998919538,-3.5774695644939215e-05,0.9885
raw_component_w100,production,development_2017_2022,extended_absence_brier_row,1080,6,0.0004635153493191662,0.00018019610529971812,0.0007295953946857561,0.001
raw_component_w100,production,recent_2020_2025,ppg_crps,1080,6,0.0061930037832712845,0.0023062137858546362,0.010330192836811728,0.0005
raw_component_w100,production,recent_2020_2025,contribution_crps,1080,6,0.023065668261439815,0.0008481556135073385,0.04675342286028343,0.019
raw_component_w100,production,recent_2020_2025,played_crps,1080,6,0.0033146482421920324,-0.0012694867857906901,0.009126365996558966,0.1145
raw_component_w100,production,recent_2020_2025,plus3_brier_row,1080,6,0.0011744741218525255,5.7684842325386374e-05,0.0021328675231963934,0.018
