year,policy,player,bench_rosters,predicted_best_rosters,realized_hit_rosters
2023,best1_lex0,Zay Jones,1,0,0
2023,best1_lex2,Adam Thielen,2,0,2
2023,best1_lex2,Aj Dillon,10,0,0
2023,best1_lex2,Alec Pierce,3,0,0
2023,best1_lex2,Alexander Mattison,1,0,0
2023,best1_lex2,Allen Lazard,2,0,2
2023,best1_lex2,Antonio Gibson,38,1,0
2023,best1_lex2,Brandon Aiyuk,1,0,0
2023,best1_lex2,Brian Robinson,22,9,22
2023,best1_lex2,Chigoziem Okonkwo,4,0,0
2023,best1_lex2,Christian Kirk,27,1,0
2023,best1_lex2,Chuba Hubbard,2,0,2
2023,best1_lex2,Clyde Edwards Helaire,10,0,0
2023,best1_lex2,Cordarrelle Patterson,3,0,0
2023,best1_lex2,Courtland Sutton,3,0,3
2023,best1_lex2,Dalton Schultz,1,0,0
2023,best1_lex2,Damien Harris,12,0,0
2023,best1_lex2,Dandre Swift,5,0,5
2023,best1_lex2,Darius Slayton,1,0,0
2023,best1_lex2,David Montgomery,6,0,6
2023,best1_lex2,David Njoku,24,0,24
2023,best1_lex2,Deon Jackson,4,0,0
2023,best1_lex2,Devin Singletary,7,0,0
2023,best1_lex2,Devon Achane,140,137,140
2023,best1_lex2,Dj Chark,3,0,0
2023,best1_lex2,Dj Moore,2,0,2
2023,best1_lex2,Donta Foreman,6,0,0
2023,best1_lex2,Elijah Higgins,1,0,0
2023,best1_lex2,Elijah Moore,2,0,0
2023,best1_lex2,Evan Engram,9,0,0
2023,best1_lex2,Ezekiel Elliott,5,0,0
2023,best1_lex2,Gabriel Davis,22,0,0
2023,best1_lex2,George Kittle,4,0,4
2023,best1_lex2,George Pickens,9,0,9
2023,best1_lex2,Greg Dulcich,11,0,0
2023,best1_lex2,Gus Edwards,3,0,0
2023,best1_lex2,Isiah Pacheco,1,0,0
2023,best1_lex2,Jahan Dotson,5,0,0
2023,best1_lex2,Jakobi Meyers,5,0,5
2023,best1_lex2,Jalin Hyatt,6,0,0
2023,best1_lex2,Jamaal Williams,4,0,0
2023,best1_lex2,Jameson Williams,25,0,25
2023,best1_lex2,Jaxon Smith Njigba,5,0,5
2023,best1_lex2,Jayden Reed,1,0,1
2023,best1_lex2,Jaylen Warren,15,0,0
2023,best1_lex2,Jeff Wilson,2,0,0
2023,best1_lex2,Jerick Mckinnon,11,0,0
2023,best1_lex2,Jerry Jeudy,4,0,4
2023,best1_lex2,Jonathan Mingo,2,0,0
2023,best1_lex2,Jordan Addison,16,5,16
2023,best1_lex2,Josh Downs,3,0,3
2023,best1_lex2,Joshua Palmer,2,0,0
2023,best1_lex2,Juju Smith Schuster,4,0,0
2023,best1_lex2,Juwan Johnson,4,0,0
2023,best1_lex2,Kadarius Toney,19,0,0
2023,best1_lex2,Kendre Miller,148,39,0
2023,best1_lex2,Kenneth Gainwell,18,0,0
2023,best1_lex2,Kenyan Drake,14,0,0
2023,best1_lex2,Khalil Herbert,4,0,0
2023,best1_lex2,Kj Osborn,1,0,0
2023,best1_lex2,Kyle Pitts,9,0,0
2023,best1_lex2,Kyren Williams,4,0,4
2023,best1_lex2,Malik Davis,2,0,0
2023,best1_lex2,Marquez Valdes Scantling,2,0,0
2023,best1_lex2,Marquise Brown,10,2,0
2023,best1_lex2,Marvin Mims,1,0,0
2023,best1_lex2,Michael Carter,6,0,0
2023,best1_lex2,Michael Pittman,11,0,0
2023,best1_lex2,Michael Thomas,8,0,0
2023,best1_lex2,Mike Evans,1,0,1
2023,best1_lex2,Mike Williams,2,0,0
2023,best1_lex2,Miles Sanders,2,0,0
2023,best1_lex2,Mohamed Ibrahim,1,0,0
2023,best1_lex2,Nico Collins,5,0,5
2023,best1_lex2,Pat Freiermuth,26,0,0
2023,best1_lex2,Quentin Johnston,11,0,0
2023,best1_lex2,Raheem Mostert,14,1,0
2023,best1_lex2,Rashaad Penny,31,1,0
2023,best1_lex2,Rashid Shaheed,2,0,2
2023,best1_lex2,Rashod Bateman,20,0,20
2023,best1_lex2,Richie James,1,0,0
2023,best1_lex2,Robert Woods,1,0,0
2023,best1_lex2,Romeo Doubs,8,0,0
2023,best1_lex2,Rondale Moore,9,0,0
2023,best1_lex2,Samaje Perine,5,0,0
2023,best1_lex2,Sean Tucker,4,0,0
2023,best1_lex2,Tank Bigsby,4,1,0
2023,best1_lex2,Terry Mclaurin,5,0,5
2023,best1_lex2,Tj Hockenson,1,0,0
2023,best1_lex2,Treylon Burks,17,0,0
2023,best1_lex2,Tyjae Spears,125,5,0
2023,best1_lex2,Tyler Allgeier,35,0,0
2023,best1_lex2,Tyler Boyd,1,0,0
2023,best1_lex2,Tyler Higbee,1,0,0
2023,best1_lex2,Tyler Lockett,3,0,0
2023,best1_lex2,Zach Charbonnet,63,25,62
2023,best1_lex2,Zach Evans,1,0,0
2023,best1_lex2,Zay Flowers,73,23,73
2023,best1_lex2,Zay Jones,1,0,0
2023,control,Adam Thielen,63,0,63
2023,control,Aj Dillon,22,6,0
2023,control,Alec Pierce,8,0,0
2023,control,Alexander Mattison,1,0,0
2023,control,Allen Lazard,7,0,7
2023,control,Antonio Gibson,44,10,0
2023,control,Brandin Cooks,1,0,0
2023,control,Brandon Aiyuk,2,0,0
2023,control,Brian Robinson,5,3,5
2023,control,Chase Claypool,1,0,0
2023,control,Chase Edmonds,5,0,0
2023,control,Chigoziem Okonkwo,10,0,0
2023,control,Christian Kirk,39,7,0
2023,control,Chuba Hubbard,2,0,2
2023,control,Clyde Edwards Helaire,1,0,0
2023,control,Cole Kmet,4,0,0
2023,control,Cordarrelle Patterson,3,0,0
2023,control,Courtland Sutton,5,1,5
2023,control,Curtis Samuel,1,0,0
2023,control,Dallas Goedert,6,0,0
2023,control,Dalton Schultz,4,0,0
2023,control,Dalvin Cook,1,1,0
2023,control,Damien Harris,21,1,0
2023,control,Dandre Swift,1,1,1
2023,control,Darius Slayton,1,0,0
2023,control,Darnell Mooney,1,0,1
2023,control,Darren Waller,1,0,0
2023,control,David Montgomery,9,0,9
2023,control,David Njoku,44,0,44
2023,control,Deon Jackson,2,0,0
2023,control,Devin Singletary,16,0,0
2023,control,Devon Achane,81,81,81
2023,control,Diontae Johnson,1,0,0
2023,control,Dj Chark,5,0,0
2023,control,Dj Moore,9,0,9
2023,control,Donovan Peoples Jones,2,0,0
2023,control,Donta Foreman,15,0,0
2023,control,Elijah Higgins,3,0,0
2023,control,Elijah Moore,11,0,0
2023,control,Evan Engram,20,0,0
2023,control,Ezekiel Elliott,14,0,0
2023,control,Gabriel Davis,12,5,0
2023,control,George Kittle,15,0,15
2023,control,George Pickens,14,0,14
2023,control,Greg Dulcich,24,0,0
2023,control,Gus Edwards,7,0,0
2023,control,Isiah Pacheco,1,0,0
2023,control,Jahan Dotson,5,2,0
2023,control,Jakobi Meyers,13,0,13
2023,control,Jalin Hyatt,8,0,0
2023,control,Jamaal Williams,11,1,0
2023,control,Jameson Williams,28,1,28
2023,control,Jaxon Smith Njigba,5,0,5
2023,control,Jaylen Warren,18,1,0
2023,control,Jeff Wilson,5,0,0
2023,control,Jerick Mckinnon,23,0,0
2023,control,Jerry Jeudy,5,1,5
2023,control,Jonathan Mingo,2,1,0
2023,control,Jordan Addison,5,3,5
2023,control,Josh Downs,15,0,15
2023,control,Joshua Palmer,2,0,0
2023,control,Juju Smith Schuster,6,0,0
2023,control,Juwan Johnson,12,0,0
2023,control,Kadarius Toney,20,3,0
2023,control,Kendre Miller,42,25,0
2023,control,Kenneth Gainwell,9,0,0
2023,control,Kenyan Drake,12,1,0
2023,control,Khalil Herbert,11,1,0
2023,control,Khalil Shakir,1,0,1
2023,control,Kj Osborn,3,0,0
2023,control,Kyle Pitts,17,0,0
2023,control,Latavius Murray,2,0,0
2023,control,Marquez Valdes Scantling,7,0,0
2023,control,Marquise Brown,17,6,0
2023,control,Marvin Mims,1,0,0
2023,control,Michael Carter,2,0,0
2023,control,Michael Gallup,1,0,0
2023,control,Michael Pittman,18,1,0
2023,control,Michael Thomas,10,0,0
2023,control,Mike Evans,1,0,1
2023,control,Mike Williams,2,0,0
2023,control,Miles Sanders,2,0,0
2023,control,Mohamed Ibrahim,1,0,0
2023,control,Nico Collins,7,1,7
2023,control,Parris Campbell,1,0,0
2023,control,Pat Freiermuth,69,0,0
2023,control,Quentin Johnston,16,0,0
2023,control,Raheem Mostert,14,2,0
2023,control,Rashaad Penny,22,7,0
2023,control,Rashid Shaheed,3,0,3
2023,control,Rashod Bateman,16,3,16
2023,control,Richie James,1,0,0
2023,control,Robert Woods,1,0,0
2023,control,Romeo Doubs,14,0,0
2023,control,Rondale Moore,14,0,0
2023,control,Sam Laporta,1,0,1
2023,control,Samaje Perine,7,1,0
2023,control,Sean Tucker,6,0,0
2023,control,Terrace Marshall,1,0,0
2023,control,Terry Mclaurin,5,0,5
2023,control,Tiyon Evans,1,0,0
2023,control,Tj Hockenson,4,0,0
2023,control,Treylon Burks,15,3,0
2023,control,Tyler Boyd,1,0,0
2023,control,Tyler Higbee,6,0,0
2023,control,Tyler Lockett,5,1,0
2023,control,Tyquan Thornton,1,0,0
2023,control,Zach Charbonnet,35,27,34
2023,control,Zay Flowers,68,42,68
2023,control,Zay Jones,9,0,0
2024,best1_lex0,Aaron Jones,2,0,0
2024,best1_lex0,Adonai Mitchell,7,0,0
2024,best1_lex0,Alexander Mattison,1,0,0
2024,best1_lex0,Austin Ekeler,13,1,0
2024,best1_lex0,Blake Corum,38,5,0
2024,best1_lex0,Braelon Allen,8,1,0
2024,best1_lex0,Brian Robinson,35,1,0
2024,best1_lex0,Brian Thomas,41,0,0
2024,best1_lex0,Brock Bowers,32,0,32
2024,best1_lex0,Bucky Irving,27,3,27
2024,best1_lex0,Chase Brown,117,21,117
2024,best1_lex0,Chris Godwin,1,0,0
2024,best1_lex0,Christian Kirk,2,0,0
2024,best1_lex0,Christian Watson,14,0,0
2024,best1_lex0,Chuba Hubbard,27,0,0
2024,best1_lex0,Courtland Sutton,1,0,1
2024,best1_lex0,Dallas Goedert,2,0,2
2024,best1_lex0,Dalton Schultz,6,0,0
2024,best1_lex0,David Njoku,6,0,0
