league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
dk,usage_depth_w100,core_broad,development_2017_2022,936,-0.0003342863158790621,-0.00013800418487330823,-0.0004563668052731673,-0.0006595420354293946,-0.00036838755794331435,-0.00031912174662290793,0.0
dk,usage_depth_w100,core_broad,temporal_2023_2025,468,-0.004026727963317267,-0.0016951410690901891,-0.0009485388374046444,0.0019279179763791454,-0.000965758114301862,0.000700047216234928,-0.002136752136752129
dk,usage_depth_w100,core_main,development_2017_2022,720,0.00015726367558954735,6.291434743088686e-05,-0.0005140527810983953,-0.00043960869107284584,0.0036138466857259383,-0.0005712063230956382,0.0
dk,usage_depth_w100,core_main,temporal_2023_2025,360,-0.003938775772947434,-0.0016114009695352705,-0.0007284968982290696,0.0012887695879870709,0.006656606503749843,0.0012929976644438929,0.0
dk,usage_depth_w100,core_main_qb1,development_2017_2022,718,0.0001577017359672972,6.318853037146077e-05,-0.0005147975389376835,-0.0004410555649102532,0.0036239131110344103,-0.0005727974270596653,0.0
dk,usage_depth_w100,core_main_qb1,temporal_2023_2025,358,-0.003960780106873951,-0.0016360229561573902,-0.0007302532084310087,0.0013003951352652532,0.006693794249580887,0.0013002211150832943,0.0
dk,usage_depth_w100,core_strict,development_2017_2022,504,0.00026687891292676014,0.00010113830979863181,-0.00030886171377242366,-0.0011928163427832317,0.004012264333521379,-0.0006955582941394756,0.0
dk,usage_depth_w100,core_strict,temporal_2023_2025,252,-0.003213057227701377,-0.0013446597635677904,-0.001176320771014927,0.0008264829575246324,-0.009549142588648364,0.001750971973500659,0.003968253968253954
dk,usage_depth_w100,depth_main,development_2017_2022,1039,-0.0008406590933009994,-0.0004379285265845301,-0.00014592893760756454,0.00027519052442603886,-0.013642527597128501,-0.0014938538881545949,0.0009624639076035724
dk,usage_depth_w100,depth_main,temporal_2023_2025,528,-0.0007805282294941485,-0.0003867456172453876,-0.0003033059938915006,0.0008245498705667931,0.009743158992493915,0.0012946370265491947,-0.0018939393939394478
