"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"462","Carson Beck","ARZ","qb","14","17","30.3","0","48.6997","72.7801","472.5071","2.3943","1.929","6.1347","4.2326","29.5867","0.1454","0","0","0","0","0.8169","0.4131","0.1792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"463","Jake Browning","TB","qb","10","17","29.9","0","48.1288","69.5569","458.2217","2.4601","1.9608","5.3589","4.3962","26.9841","0.1609","0","0","0","0","0.7235","0.3651","0.1857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"464","Tyler Huntley","BLT","qb","13","17","28.5","0","40.9022","59.0034","385.8558","2.0339","1.3376","5.3389","7.0991","48.0181","0.2418","0","0","0","0","0.765","0.382","0.2191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"465","J.J. McCarthy","MIN","qb","6","17","27.5","0","39.1984","58.4824","394.0703","2.4159","1.6536","5.3458","4.5967","28.3708","0.1647","0","0","0","0","0.7253","0.3657","0.1519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"466","Jarrett Stidham","DEN","qb","10","17","27.4","0","41.6333","61.291","396.9078","2.0914","1.6032","4.917","5.563","36.0128","0.1904","0","0","0","0","0.6886","0.3452","0.1651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467","Quinn Ewers","MIA","qb","6","17","27.4","0","45.4792","65.0616","423.2782","2.2149","1.7459","6.0097","4.1458","25.8735","0.1433","0","0","0","0","0.799","0.4043","0.1532","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"468","Kenny Pickett","CAR","qb","5","17","27.1","0","40.3916","60.1754","401.1716","2.2186","1.2765","4.7363","4.2725","25.6472","0.1517","0","0","0","0","0.6456","0.3253","0.1434","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"469","Andy Dalton","PHI","qb","10","17","26.7","0","40.5976","58.8043","400.9874","2.5425","1.5101","4.0518","2.0454","14.8701","0.0678","0","0","0","0","0.528","0.268","0.1739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"470","Davis Mills","HST","qb","8","17","25.6","0","39.8203","61.1328","398.1688","2.1254","1.4176","4.3644","3.2882","18.6167","0.1156","0","0","0","0","0.584","0.2953","0.1484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"471","Zach Wilson","NO","qb","8","17","24.9","0","39.0688","59.077","383.7302","1.9027","1.395","5.6151","4.2097","25.6825","0.1459","0","0","0","0","0.7518","0.38","0.1394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
