method,slice_type,slice_value,metric,n_rows,value
causal_router_min_50,position,WR,rmse,1503,3.1130836702150946
causal_router_min_50,position,WR,mae,1503,2.461053918210821
causal_router_min_50,position,WR,bias,1503,0.31114156646078067
causal_router_min_50,position,WR,spearman,1503,0.7562083435703633
causal_router_min_100,position,WR,rmse,1503,3.1130836702150946
causal_router_min_100,position,WR,mae,1503,2.461053918210821
causal_router_min_100,position,WR,bias,1503,0.31114156646078067
causal_router_min_100,position,WR,spearman,1503,0.7562083435703633
projection_prediction,history_depth,other_no_history,rmse,27,2.3643288327942975
projection_prediction,history_depth,other_no_history,mae,27,1.8236393227389536
projection_prediction,history_depth,other_no_history,bias,27,0.6107108019376317
projection_prediction,history_depth,other_no_history,spearman,27,0.5359597447355111
full_prediction,history_depth,other_no_history,rmse,27,2.709995025679246
full_prediction,history_depth,other_no_history,mae,27,2.1413463307538225
full_prediction,history_depth,other_no_history,bias,27,0.6732092724256993
full_prediction,history_depth,other_no_history,spearman,27,0.4566544566544566
no_prior_hybrid,history_depth,other_no_history,rmse,27,2.3643288327942975
no_prior_hybrid,history_depth,other_no_history,mae,27,1.8236393227389536
no_prior_hybrid,history_depth,other_no_history,bias,27,0.6107108019376317
no_prior_hybrid,history_depth,other_no_history,spearman,27,0.5359597447355111
limited_history_hybrid,history_depth,other_no_history,rmse,27,2.3643288327942975
limited_history_hybrid,history_depth,other_no_history,mae,27,1.8236393227389536
limited_history_hybrid,history_depth,other_no_history,bias,27,0.6107108019376317
limited_history_hybrid,history_depth,other_no_history,spearman,27,0.5359597447355111
causal_router_min_25,history_depth,other_no_history,rmse,27,2.570893457030049
causal_router_min_25,history_depth,other_no_history,mae,27,2.032625757677558
causal_router_min_25,history_depth,other_no_history,bias,27,0.7085902347535905
causal_router_min_25,history_depth,other_no_history,spearman,27,0.44688644688644685
causal_router_min_50,history_depth,other_no_history,rmse,27,2.570893457030049
causal_router_min_50,history_depth,other_no_history,mae,27,2.032625757677558
causal_router_min_50,history_depth,other_no_history,bias,27,0.7085902347535905
causal_router_min_50,history_depth,other_no_history,spearman,27,0.44688644688644685
causal_router_min_100,history_depth,other_no_history,rmse,27,2.6907440472593094
causal_router_min_100,history_depth,other_no_history,mae,27,2.109501863749429
causal_router_min_100,history_depth,other_no_history,bias,27,0.6494555767479916
causal_router_min_100,history_depth,other_no_history,spearman,27,0.43650793650793646
projection_prediction,history_depth,rookie,rmse,532,3.422748265769626
projection_prediction,history_depth,rookie,mae,532,2.6903632429224236
projection_prediction,history_depth,rookie,bias,532,-0.12025222546393213
projection_prediction,history_depth,rookie,spearman,532,0.6454183914678658
full_prediction,history_depth,rookie,rmse,532,3.449361256817076
full_prediction,history_depth,rookie,mae,532,2.75433232725577
full_prediction,history_depth,rookie,bias,532,0.3174477507973707
full_prediction,history_depth,rookie,spearman,532,0.6471467059654281
no_prior_hybrid,history_depth,rookie,rmse,532,3.422748265769626
no_prior_hybrid,history_depth,rookie,mae,532,2.6903632429224236
no_prior_hybrid,history_depth,rookie,bias,532,-0.12025222546393213
no_prior_hybrid,history_depth,rookie,spearman,532,0.6454183914678658
limited_history_hybrid,history_depth,rookie,rmse,532,3.422748265769626
limited_history_hybrid,history_depth,rookie,mae,532,2.6903632429224236
limited_history_hybrid,history_depth,rookie,bias,532,-0.12025222546393213
limited_history_hybrid,history_depth,rookie,spearman,532,0.6454183914678658
causal_router_min_25,history_depth,rookie,rmse,532,3.4198682931214726
causal_router_min_25,history_depth,rookie,mae,532,2.706779164916566
causal_router_min_25,history_depth,rookie,bias,532,0.0703499772328487
causal_router_min_25,history_depth,rookie,spearman,532,0.6461361041193454
causal_router_min_50,history_depth,rookie,rmse,532,3.4202969582674125
causal_router_min_50,history_depth,rookie,mae,532,2.708354725867903
causal_router_min_50,history_depth,rookie,bias,532,0.069103836527698
causal_router_min_50,history_depth,rookie,spearman,532,0.646154076052446
causal_router_min_100,history_depth,rookie,rmse,532,3.424854283422239
causal_router_min_100,history_depth,rookie,mae,532,2.714409292330077
causal_router_min_100,history_depth,rookie,bias,532,0.10384136295642718
causal_router_min_100,history_depth,rookie,spearman,532,0.648472296026118
projection_prediction,history_depth,second_year,rmse,568,3.20323432774851
projection_prediction,history_depth,second_year,mae,568,2.4567314001954874
projection_prediction,history_depth,second_year,bias,568,0.05711916099917037
projection_prediction,history_depth,second_year,spearman,568,0.7646767032669232
full_prediction,history_depth,second_year,rmse,568,3.2383974066631893
full_prediction,history_depth,second_year,mae,568,2.5047745458379276
full_prediction,history_depth,second_year,bias,568,0.19699663143415294
full_prediction,history_depth,second_year,spearman,568,0.7620683699481384
no_prior_hybrid,history_depth,second_year,rmse,568,3.233211135826712
no_prior_hybrid,history_depth,second_year,mae,568,2.496964763019634
no_prior_hybrid,history_depth,second_year,bias,568,0.177830900529488
no_prior_hybrid,history_depth,second_year,spearman,568,0.7639755995361586
limited_history_hybrid,history_depth,second_year,rmse,568,3.20323432774851
limited_history_hybrid,history_depth,second_year,mae,568,2.4567314001954874
limited_history_hybrid,history_depth,second_year,bias,568,0.05711916099917037
limited_history_hybrid,history_depth,second_year,spearman,568,0.7646767032669232
causal_router_min_25,history_depth,second_year,rmse,568,3.1908004046555054
causal_router_min_25,history_depth,second_year,mae,568,2.451776526965681
causal_router_min_25,history_depth,second_year,bias,568,0.09368433091040473
causal_router_min_25,history_depth,second_year,spearman,568,0.7647926828787168
causal_router_min_50,history_depth,second_year,rmse,568,3.205953996841386
causal_router_min_50,history_depth,second_year,mae,568,2.4573091809062184
causal_router_min_50,history_depth,second_year,bias,568,0.09319047404869947
causal_router_min_50,history_depth,second_year,spearman,568,0.7645477057649391
causal_router_min_100,history_depth,second_year,rmse,568,3.20718382594897
causal_router_min_100,history_depth,second_year,mae,568,2.457909806465979
causal_router_min_100,history_depth,second_year,bias,568,0.10938303480752179
causal_router_min_100,history_depth,second_year,spearman,568,0.7644213286000393
projection_prediction,history_depth,veteran_with_history,rmse,2569,3.060245351094673
projection_prediction,history_depth,veteran_with_history,mae,2569,2.400938725656119
